PMID,Title,Abstract,ISSN,Journal,Location,Year,FirstAuthorForename,FirstAuthorLastname,FirstAuthorInitials,FirstAuthorAffiliation,Relevant
26094422,[Effect of comprehensive care for chronic filariasis patients with lymphedema].,To evaluate the effect of chronic filariasis patients with lymphedema after comprehensive cared.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 73-5,2015,Ming-chuan,Li,MC,,False
26094423,"[Prevalence and risk factors of Enterobius vermicularis among preschool children in kindergartens in Luohu District, Shenzhen City].","To understand the prevalence and risk factors of Enterobius vermicularis among preschool children in kindergartens in Luohu District, Shenzhen City.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 76-8,2015,Cui-ping,Kuang,CP,,False
26094429,[Discussion of epidemic trend and control strategies of malaria in Jinan City from 1989 to 2013].,"To explore the epidemic trend of malaria in Jinan City , so as to provide the evidence for improving the prevention and control of malaria.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 90-1,2015,Shu-hui,Xu,SH,,False
26094432,[Thrombogenesis and its treatment in portal system after devascularization].,To discuss the occurrence of thrombosis in portal system of patients with cirrhotic portal hypertension after devascularization and the methods for treatment and prevention.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 96-7,2015,Li-jun,Liu,LJ,,False
26094435,[Imported falciparum malaria: one case report and literature review].,"This paper reports the hematology screening and parasite morphological features of one case of imported falciparum malaria, and reviews the relevant literature.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 108-9,2015,Yu-chan,Xu,YC,,False
26263768,[Current situation of soil-transmitted nematodiasis monitoring in China and working keys in future].,"Soil-transmitted nematodiasis is widely epidemic in rural areas in China. It was showed that the infection rate of soil-transmitted nematodes was 19.56% while the overall number of persons infected was 129,000,000, which was supported by the results of the National Survey of Current Situation of Major Human Parasitic Diseases in China in 2005 published by former Ministry of Health. Therefore, soil-transmitted nematodiasis was included in the national infectious diseases and pathogenic media monitoring system by Chinese Center for Disease Control and Prevention in 2006, and subsequently 22 monitoring spots were established nationwide. From 2006 to 2013, the human infection rate of intestinal nematodes in national monitoring spots decreased from 20.88% to 3.12%, which showed a declining trend year by year. Meanwhile, the infection rates of Ascaris lumbricoides, Trichuris trichiura, hookworm, Enterobius vermicularis decreased from 10.10%, 5.88%, 8.88%, 10.00% in 2006 to 0.76%, 0.42%, 2.04%, 6.78% in 2013 respectively. In this paper, the current situation of soil-transmitted nematodiasis is overviewed based on a summary of the 8 years' monitoring work, as well as the experiences, challenges and key of monitoring work in the future.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 111-4,2015,Ying-dan,Chen,YD,,False
26263774,[Comparative study of assay methods for in vitro antimalarial drug efficacy testing in Plasmodium falciparum].,"To compare four assay methods of in vitro antimalarial drug efficacy testing, including WHO microtest, Plasmodial lactate dehydrogenase (pLDH), Histidine-rich protein II (HRP II) and SYBR Green I, so as to determine a stable, simple, rapid, and economic method for monitoring the drug sensitivity of malaria parasites and screening new antimalarial drugs.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 146-51,2015,Mei-hua,Zhang,MH,,False
26263775,[Infection and molecular characteristics of Giardia in clinical diarrheal patients].,To initially understand the infection status and the molecular characteristics of Giardia in clinical diarrheal patients.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 152-5,2015,Hua,Liu,H,,False
26263777,[Establishment of animal model for Pneumocystis carinii and study on etiological and molecular biological detection technology].,To establish an animal model for Pneumocystis pneumonia (PCP) and to study the etiological and molecular biological technology for PCP detection.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 162-5, 185",2015,Li-guang,Tian,LG,,False
26263776,[Establishment and diagnostic performance of biotin-avidin complex enzyme linked immunosorbent assay of detecting specific IgG4 of clonorchiasis].,To explore the performance of the biotin-avidin complex enzyme linked immunosorbent assay of detecting specific IgG4 for the diagnosis of clonorchiasis.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 156-61,2015,Jie,Wang,J,,False
26263778,[In vitro killing of Trichinella spiralis muscle larvae by exogenous nitric oxide from SNP].,To study the lethal effect of exogenous nitric oxide donor sodium nitroprusside (SNP) on the muscle larvae of Trichinella spiralis in vitro cultivation.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 166-9,2015,Xiao-li,Wang,XL,,False
26263779,"[Cloning, expression, purification and identification of Toxoplasma gondii SAG2 gene in Escherichia coli].",To construct a recombinant plasmid containing surface antigen 2(SAG2) gene of Toxoplasma gondii and express it in Escherichia coli.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 170-3,2015,Wei-yan,Wang,WY,,False
26263783,"[Investigation of intestinal nematode infections in Hongze County, Jiangsu Province].","To understand the situation of intestinal nematode infections and assess the preventive effects, so as to provide the evidence for formulating the further measures of prevention.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 183-5,2015,Xue-jun,Guan,XJ,,False
26263785,"[Epidemic situation of malaria in Taixing City, 2005-2013].","To analyze the malaria situation and control measures in recent years in Taixing City, so as to provide the evidence for formulating the reasonable countermeasures in the future.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 189-91,2015,Lan-mei,Zhao,LM,,False
26263784,[Epidemiological analysis of malaria prevalence in Hubei Province in 2013].,"To explore the endemic situation of malaria in Hubei Province in 2013, so as to put forward effective elimination strategies and measures.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 186-8,2015,Jing,Xia,J,,False
26263790,[Clinical effect of cardiac peripheral vascular disconnection in emergency treatment of gastroesophageal bleeding caused by portal hypertension].,To evaluate the clinical effect of cardiac peripheral vascular disconnection in the emergency treatment of gastroesophageal bleeding caused by portal hypertension.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 201-2,2015,Shao-long,Zheng,SL,,False
26263793,[Epidemiological analysis of malaria in Wenzhou City in 2013].,"To understand the characteristics of malaria prevalence in Wenzhou City in 2013, so as to provide the evidence for improving the elimination program of malaria.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 208-9, 212",2015,Qing-xiang,Ni,QX,,False
26263796,[Advances in research of Toxoplasma gondii rhoptry protein ROP16].,"ROP16 is one member of the rhoptrys protein family in Toxoplasma gondii. In its protein structure, there exists serine/threonine kinase domain, which is the important virulence factor in the invasion process of T. gondii. ROP16 can secretes into the nucleus of the host cells, and can phosphorylate the signal transducer and activator of transcription (STAT3/6) and interfere the signal transduction pathway in the host cell. In this paper, the structure and function, as well as the immunogenicity of ROP16 are summarized.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 217-20,2015,Gong-zhen,Liu,GZ,,False
26266322,[Establishment of malaria early warning system in Jiangsu Province IV Implementation of key measures to eliminate malaria in Jiangsu Province in 2013].,To promote the malaria control process in the malaria elimination stage in Jiangsu Province.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 134-8, 161",2015,Wei-ming,Wang,WM,,False
26510355,[Analysis of epidemic situation of malaria in Jiangsu Province from 2005 to 2014].,"To understand the epidemic situation and epidemiological characteristics of malaria in Jiangsu Province from 2005 to 2014, so as to provide the evidence for formulating and adjusting the strategies and measures on malaria elimination in this province.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 251-4,2015,En-pei,Luo,EP,,False
26510356,[Establishment and application of monitoring and evaluation indicator framework for malaria elimination at province and county levels in China].,"To establish a monitoring and evaluation indicator framework in the context of malaria elimination in pilot areas in China, so as to further assess the malaria elimination work in the future.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 255-62,2015,Ying-jun,Qian,YJ,,False
26510357,[Investigation on human Cryptosporidium infection in local area of Anhui Province].,"To investigate the status of Cryptosporidium infection in the population in the local area of Anhui Province, and discuss the risk factors of the infection, so as to provide the evidence for the prevention and treatment of cryptosporidiosis.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 263-7, 272",2015,Qing-quan,Wang,QQ,,False
26510358,[Species identification of freshwater snail Planorbella trivolvis and analysis of its potential distribution].,To identify the species classification of an ornamental Planorbidae from a flower market in Shanghai and analyze its potential distribution in China.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 268-72,2015,Xiao-heng,Li,XH,,False
26510361,[Isolation and identification of macrophages from liver of Microtus fortis].,To separate and purify intrahepatic macrophages from Microtus fortis (Mf) and identify its phagocytosis.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 282-4,2015,Yuan,Hu,Y,,False
26510362,"[Cloning, prokaryotic expression and immunological identification of Toxoplasma surface antigen IMP1].","To subelone, express and identify the immune mapped protein 1 (IMP1) which encodes a surface antigen of Toxoplasma gondii.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 285-9,2015,Jing-xuan,Kou,JX,,False
26510363,[Biological toxicity of heavy metals to Caenorhabditis elegans].,To evaluate the biological toxicity of heavy metals by using Caenorhabditis elegans.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 290-4,2015,Yue-e,Huang,YE,,False
26510364,[Composition and diversity of Acaroid mites' communities in indoor environments of kindergartens in Wuhu City].,"To understand the breeding situation of Acaroid mites in indoor environments of kindergartens in Wuhu City, so as to provide the evidence for its prevention and control.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 295-8,2015,Ting,Liu,T,,False
26510365,"[Metorchis orientalis founded in basin of Wuhu City, Anhui Province].","To investigate the epidemic situation of Metorchis orientalis in Wuhu City, Anhui Province.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 299-301,2015,Xiao-dong,Zhan,XD,,False
26510369,"[Evaluation of implementing effects of Global Fund Malaria Program Round 1 in Junlian County, Sichuan Province].","To evaluate the implementing effects of the first round malaria control project supported by the Global Fund on malaria control in Sichuan Province, so as to provide the evidence for intensifying the control strategy of malaria.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 313-5, 327",2015,Li,Li,L,,False
26510370,"[A bite of parasite, experiences of application of documentaries into parasitology class teaching].","Medical parasitology education has been facing some difficulties, because it is a course of wide range, lacking clinical cases and concerned specimens of parasites currently. In addition, its relationship with life is not closely enough. All these reasons may impact the effect of class education negatively. Therefore, it is important to increase the vitality of parasitology education and diversify the instructional mode by using the resources from Internet. In recent years, the Discovery Channel has uploaded a documentary Monsters Inside Me online. This documentary is high professional and closely linked with parasitology. It maintains numbers of clinical cases about parasitic diseases. Each episode is about 3 minutes and shortly enough to be introduced into class teaching. However, this resource has not been fully used in domestic temporally. We found that direct introduction of the documentary into class teaching can enrich teaching forms to attract learning interest of students, and finally improve the teaching effect of class. Above that, another popular documentary A Bite of China involves many related knowledge points of parasitology. The appropriate usage of the knowledge can build up close linkage between book and life, which is extremely helpful to give students a deep impression of parasitology. In brief, it is our strong recommendation to introduce the documentary Monsters Inside Me into class.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 316-8,2015,Yu,Guo,Y,,False
26510372,[Measures and effect of malaria prevention and control in Libo County].,"To understand the implementation status and effect of prevention and control of malaria in Libo County, so as to provide the evidence for improving the malaria elimination working.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 321-2,2015,Xue-mei,Zhou,XM,,False
26510373,[Progress in researches on molecular markers of Plasmodium falciparum drug resistance].,"Effective chemotherapy is the mainstay of malaria control. However, it is undergoing the serious threat by resis- tance of falciparum malaria to antimalarial drugs. In recent years, with the development of molecular biology technology, molec- ular markers have been widely used to monitor antimalarial drug resistance. This paper reviews the researches on the common molecular markers related to Plasmodiumfalciparum drug resistance.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 323-7,2015,Mei-hua,Zhang,MH,,False
26510375,[One case of overseas imported quartan malaria].,"A case of overseas imported quartan malaria was reported in Weihai City. The patient worked in Africa for many years, had no blood transfusion history, and had not been to malaria endemic regions of China. In approximately half a month after returning from Africa, the patient appeared suspected malaria symptoms, such as irregular fever, sweating, and headache. The patient was diagnosed as quartan malaria by a blood test in basic hospital, reviewed with a microscope by Weihai Centre for Disease Control and Prevention, and checked through the microscopic examination of malaria diagnosis and reference laboratory and PCR amplification by Shandong Institute of Parasitic Diseases. The patient was cured after the treatment with chloroquine/ primaquine for 8 days, and did not recur in the 3-month following up.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 332-4,2015,Miao-miao,Sui,MM,,False
26767256,[Laboratory analysis and diagnosis of one transfusion-transmitted quartan malaria case in Shanghai City].,To diagnose a case of quartan malaria with unknown origin by laboratory detection.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 362-6,2015,Zhen-yu,Wang,ZY,,False
26767259,"[Cloning, expression and bioinformatics analysis of pyruvate dehydrogenase of Echinococcus granulosus].",To clone and express Echinococcus granulosus pyruvate dehydrogenase (EgPDH) gene and analyze EgPDH protein with bioinformatics tools and online database.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 376-80,2015,Ying,Chen,Y,,False
26767260,[Surveillance results of paragonimiasis endemic in regular surveillance sites in Sichuan Province from 2011 to 2013].,"To understand the endemic situation and impact factors of paragonimiasis in Sichuan Province, so as to provide the evidence for its control work.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 381-4, 389",2015,Lin,Chen,L,,False
26767261,[Effect of Bacillus thuringiensis var. israelensis (Bti) on detoxification enzyme activity of larvae of Culex pipiens pallens and Aedes aegypti].,To investigate the effect of Bacillus thuringiensis var. israelensis (Bti) on the activities of three detoxification enzymes of Culex pipiens pallens and Aedes aegypti larvae.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 385-9,2015,Guang-jie,Han,GJ,,False
26767263,[Survey of infection situation of intestinal parasites of rural residents in plain area of Shandong Province].,"To understand the current situation of infections of intestinal parasites of rural residents in four cities namely Dongying, Weifang, Jining and Heze of Shandong Province.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 395-8,2015,Feng,Miao,F,,False
26767264,"[Epidemiological investigation on fascioliasis and its risk factors in population of Binchuan County, Yunnan Province].","To understand the infection status of Fasciola and related risk factors in population of Binchuan County, Yunnan Province.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 399-402,2015,Feng,Chen,F,,False
26767265,"[Effect of strategy of control and prevention of intestinal nematodiasis in Dongtai City, Jiangsu Province].","To explore the strategy of intestinal nematodiasis control in Dongtai City, Jiangsu Province.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 403-5, 409",2015,Huai-yu,Jiang,HY,,False
26767267,"[Investigation on knowledge, attitude and practice (KAP) of college students on food-borne parasitic diseases].","To understand the status of knowledge, attitude, practice (KAP) on food-borne parasitic diseases of college students, so as to provide the basis for the development of strategies on health education.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 410-3, 421",2015,Guo-lin,She,GL,,False
26767268,[Morphology observation of Histiostoma feroniarum hypopus].,To observe the external morphology of Histiostoma feroniarum hypopus under light microscope.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 414-5, 418",2015,Bin-bin,Duan,BB,,False
26767270,"[Epidemiological analysis of malaria situation in Shuyang County, Jiangsu Province from 2004 to 2013].","To understand the epidemic situation and prevalent characteristics of malaria in Shuyang County, Jiangsu Province from 2004 to 2013, so as to provide the references for formulating effective strategies and measures of malaria control.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 419-21,2015,Daojun,Hu,D,,False
26767274,[Research progress in soil-transmitted helminth infection control among children at home and abroad].,"Children are the vulnerable group for soil-transmitted helminth (STH) infections. Being infected with STHs for long term would affect the children' s nutritious status, health development and cognitive ability. This paper reviews the prevalence and influencing factors of the infections of STHs (Ascaris lumbricoides, Trichuris trichuria and hookworm) for children at home and abroad, as well as the impact of STH infections on children's health, cognitive ability and school performance, and the related interventions and their effects.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 431-5,2015,Qi,Zhou,Q,,False
26767276,[Progress of pattern recognition receptors of molluscs].,"Molluscs have established complete innate immunity to defense against pathogens. The pattern recognition receptors (PRRs) are the sensory receptors of molluscs to resist outside invaders, as the first reactor to initiate the innate immune response. Some PRRs have been identified in several molluscs, including Toll-like receptors (TLRs) , C-type lectins, galectins, lipopolysaccharide-β-1,3-glucan binding protein (LGBP), Clq domain-containing protein (ClqDC), and peptidoglycan recognition protein (PGRP). PRRs have various biological activities and play important roles in the defense system of molluscs. This paper reviews the research progress of PRRs in molluscs.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 440-3,2015,Qian,Gao,Q,,False
26767277,[A case of neonatal congenital malaria accompanied with severe thrombocytopenia].,This article reports the process of diagnosis and treatment of one case of neonatal congenital malaria accompanied with severe thrombocytopenia.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 444-5,2015,Kang-ming,Lin,KM,,False
26771044,[Establishment of early warning system of malaria in Jiangsu Province V Es- tablishment of prevention and control system of imported falciparum malaria].,To establish a system of the prevention and control of imported falciparum malaria in Jiangsu Prov- ince and provide the new scientific basis for the prevention and control of imported falciparum malaria.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 359-61, 366",2015,Wei-ming,Wang,WM,,False
26930932,[Analysis of sensitization effect of chimeric allergen TAT-IhC-R8 derived from major allergen group 1 genes of dust mites].,"To explore the sensitization effect of allergen TAT-IhC-R8, derived from major allergen group 1 genes of dust mites.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 485-9,2015,Chao-pin,Li,CP,,False
26930933,[Immunotherapy effect of ploypeptide vaccine of allergen group 1 from Dermatophagoides farinae on asthma mice].,To investigate the enzymatic hydrolysates of ProDer f land their hydrolytic products for specific immunotherapy.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 490-6,2015,Hong-yu,Song,HY,,False
26930938,[Effect of soil-transmitted helminthes control through mass deworming and latrine improvement].,To evaluate the effect of soil-transmitted helminthes control through mass deworming and latrine improvement in rural areas.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 510-2,2015,Tao,Zhu,T,,False
26930939,[Imaging characteristics of different types of cerebral cysticercosis].,To study the imaging characteristics of different types of cerebral cysticercosis.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 513-6,2015,De-hua,Mao,DH,,False
26930940,[Clinical application of diagnostic therapy of praziquantel for suspected cere- bral cysticercosis].,To explore the clinical application value of diagnostic therapy of praziquantel for suspected cerebral cysticercosis.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 517-9,2015,Yan,Li,Y,,False
26930941,[Malaria surveillance in Tengchong County of Yunnan Province in 2013].,"To analyze the surveillance data of malaria in Tengchong County of Yunnan Province in 2013, so as to provide the evidence for carrying out the malaria elimination in the future.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 520-2,2015,Sheng-guo,Li,SG,,False
26930943,[Investigation of natural foci of Metorchis taiwanensis in Wuhu area].,To explore the existence of natural foci of Metorchis taiwanensis in Wuhu area.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 526-8,2015,Bin-bin,Duan,BB,,False
26930950,"[Analysis of malaria situation and discussion of control strategies in Huai'an City, 2014].","To understand the malaria epidemic situation in Huai'an City in 2014, so as to provide the evidence for formulating and adjusting effective strategies and measures to eliminate malaria.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 546-8,2015,Cong-ying,Jia,CY,,False
26930951,"[Quality analysis of malaria blood smear preparations of febrile patients in Chenzhou Prefecture, 2014].","To standardize the malaria smear preparations of febrile patients in Chenzhou Prefecture, Hunan Province, so as to provide the technical support for malaria elimination.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 549-50, 554",2015,Yan-qin,Wang,YQ,,False
26930953,[Advances in researches on mechanism of anti-Toxoplasma Chinese herbal medicine].,"Toxoplasma gondii is an opportunity cellular parasite, related to the infection of various animals and human beings and severely impairing agriculture and human health. Because of the complexity of T. gondii life cycle, its different biological characteristics, and multifarious pathogenesis, there are no specific treatment and preventive medicines at present. Chinese herbal medicine can balance ""yin-yang"" and regulate the immunity and its side-effect is slight. Now, it has been a hot topic of the research on effective and secure medicines in anti-toxoplasmosis. This paper summarizes and analyzes the curative effect and mechanism of anti-Toxoplasma Chinese herbal medicine, such as Scutellaria baicalensis, Inontus obliquus polysaccharide, Radix glycyrrhizae, pumpkin seeds, and Semen arecae.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 555-7, 559",2015,Zhao-Yun,Yu,ZY,,False
26930954,[Upper gastrointestinal bleeding induced by hookworm infection: one case report].,"This paper reports a case of upper gastrointestinal bleeding induced by hookworm infection, which was misdiagnosed at the beginning, and analyzes the causes of misdiagnosis.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 558-9,2015,Qiu-li,Lan,QL,,False
26933729,[Establishment of malaria early warning system in Jiangsu Province VI Regular surveillance of eliminating malaria and its effect].,"To analyze the regular surveillance and evaluate its effect during the elimination stage of malaria in Jiangsu Province from 2012 to 2014 and discuss the best way for surveillance and management, so as to provide the evidence for formulating and adjusting the strategy and methods for malaria elimination.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 479-84,2015,Wei-ming,Wang,WM,,False
27097475,[Epidemiological analysis of malaria prevalence in Jiangsu Province in 2014].,"To understand the malaria epidemic situation and characteristics in Jiangsu Province in 2014, so as to provide the evidence for formulating and adjusting appropriate strategies and measures for malaria elimination in this province.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 591-4, 652",2015,Hua-yun,Zhou,HY,,False
27097476,[Survey of epidemic status of principal human parasites in Jiangxi Province in 2014].,"To understand and analyze the epidemic status of principal human parasites in Jiangxi Province, so as to provide the evidence for formulating The 13rd Five-Year Project of Parasites Control.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 595-9,2015,Xiao-jun,Zeng,XJ,,False
27097477,[Investigation on Entamoeba histolytica infection in diarrhea patients from general hospitals in Shanghai City].,"To understand the status of Entamoeba histolytica infection in diarrhea patients in general hospitals, so as to provide the evidences for the prevention and control of the disease.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 600-3,2015,Xiao-ping,Zhang,XP,,False
27097478,[Seroprevalence and risk factors of Toxoplasma gondii infection among pregnant women in Wuxi region].,"To investigate the prevalence and risk factors of Toxoplasma gondii infection among pregnant women in Wuxi City of Jiangsu Province, so as to provide the evidence for developing the preventive and control interventions of T. gondii infection.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 604-7,2015,Jiao-jiao,Zhou,JJ,,False
27097480,[Research on dust mite allergen gathered from filters of air-conditioners].,To discuss the relation between the dust mite allergen (Der) in air-conditioner filters and the asthma attack.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(27) 612-4, 633",2015,Xiao-dong,Zhan,XD,,False
27097484,"[Effect of management on imported malaria in Yangzhou City, 2012-2013].","To evaluate the effectiveness of the management on imported malaria in Yangzhou City, so as to provide a reference for formulating the strategy for the prevention and control of imported malaria.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 625-7,2015,Yu-hui,Xu,YH,,False
27097485,[Current status of malaria control knowledge awareness of primary and sec- ondary school students in Xuzhou City].,"To understand the current status of malaria control knowledge awareness of primary and secondary school students and its influencing factors in Yunlong District, Xuzhou City, so as to provide the evidence for improving the malaria prevention work.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 628-30,2015,Xing-sheng,Sun,XS,,False
27097486,[Discussion on relationship between hepatobiliary pathological changes under B-ultrasound and Clonorchis sinensis infection].,"To explore the relationship between the hepatobiliary pathological changes under B-ultrasound examinations and Clonorchis sinensis infection, so as to provide the evidence for further prevention and control.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 631-3,2015,Zhi-cheng,Liang,ZC,,False
27097487,[Investigation of Acaroid mites breeding in stored dry fruits].,To study the species and density of Acaroid mites breeding in stored dry fruits.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 634-7,2015,Ning,Tao,N,,False
27097488,[Investigation of Acaroid mites breeding in university canteen condiments].,To investigate the condition of Acaroid mite breeding in university canteen common condiments.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 638-40,2015,Hong-yu,Song,HY,,False
27097492,[Application of perfusion of low molecular dextran via splenic artery in portal azygous devascularization for portal hypertension].,To evaluate the effects of the perfusion of low molecular dextran via the splenic artery in portal azygous devascularization for portal hypertension in the prevention from portal vein thrombosis.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 650-2,2015,Li-jun,Liu,LJ,,False
27097493,"[Epidemiological characteristics of malaria prevalence in Xiaoshan District, Hangzhou City, 2012-2014].","To understand the malaria epidemic situation and characteristics in Xiaoshan District, 2010-2014, so as to provide the evidence for formulating effective malaria elimination strategies and measures.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 653-4,2015,Jun-ying,Lin,JY,,False
27097494,[Investigation on awareness status of malaria control knowledge of primary and secondary school students in Pizhou City].,"To understand the awareness status of malaria control knowledge of primary and secondary school students in Pizhou City, so as to. provide a reference for formulating the health education strategy for malaria control.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(27) 655-7,2015,Ti-ya,Liu,TY,,False
